Tipologia_API;Zona;Data;Valore
loginCountZone;OWM Zona9;2022-05-21 00:00:00+02:00;228.0
loginCountZone;OWM Zona8;2022-05-21 00:00:00+02:00;230.0
loginCountZone;OWM Zona7;2022-05-21 00:00:00+02:00;117.0
loginCountZone;OWM Zona6;2022-05-21 00:00:00+02:00;515.0
loginCountZone;OWM Zona5;2022-05-21 00:00:00+02:00;191.0
loginCountZone;OWM Zona4;2022-05-21 00:00:00+02:00;258.0
loginCountZone;OWM Zona3;2022-05-21 00:00:00+02:00;563.0
loginCountZone;OWM Zona2;2022-05-21 00:00:00+02:00;162.0
loginCountZone;OWM Zona1;2022-05-21 00:00:00+02:00;412.0
loginCountZone;OWM Zona9;2022-05-20 00:00:00+02:00;317.0
loginCountZone;OWM Zona8;2022-05-20 00:00:00+02:00;314.0
loginCountZone;OWM Zona7;2022-05-20 00:00:00+02:00;206.0
loginCountZone;OWM Zona6;2022-05-20 00:00:00+02:00;625.0
loginCountZone;OWM Zona5;2022-05-20 00:00:00+02:00;236.0
loginCountZone;OWM Zona4;2022-05-20 00:00:00+02:00;295.0
loginCountZone;OWM Zona3;2022-05-20 00:00:00+02:00;685.0
loginCountZone;OWM Zona2;2022-05-20 00:00:00+02:00;184.0
loginCountZone;OWM Zona1;2022-05-20 00:00:00+02:00;456.0
loginCountZone;OWM Zona9;2022-05-19 00:00:00+02:00;283.0
loginCountZone;OWM Zona8;2022-05-19 00:00:00+02:00;284.0
loginCountZone;OWM Zona7;2022-05-19 00:00:00+02:00;230.0
loginCountZone;OWM Zona6;2022-05-19 00:00:00+02:00;582.0
loginCountZone;OWM Zona5;2022-05-19 00:00:00+02:00;248.0
loginCountZone;OWM Zona4;2022-05-19 00:00:00+02:00;297.0
loginCountZone;OWM Zona3;2022-05-19 00:00:00+02:00;699.0
loginCountZone;OWM Zona2;2022-05-19 00:00:00+02:00;219.0
loginCountZone;OWM Zona1;2022-05-19 00:00:00+02:00;420.0
loginCountZone;OWM Zona9;2022-05-18 00:00:00+02:00;302.0
loginCountZone;OWM Zona8;2022-05-18 00:00:00+02:00;315.0
loginCountZone;OWM Zona7;2022-05-18 00:00:00+02:00;230.0
loginCountZone;OWM Zona6;2022-05-18 00:00:00+02:00;517.0
loginCountZone;OWM Zona5;2022-05-18 00:00:00+02:00;232.0
loginCountZone;OWM Zona4;2022-05-18 00:00:00+02:00;272.0
loginCountZone;OWM Zona3;2022-05-18 00:00:00+02:00;655.0
loginCountZone;OWM Zona2;2022-05-18 00:00:00+02:00;234.0
loginCountZone;OWM Zona1;2022-05-18 00:00:00+02:00;406.0
loginCountZone;OWM Zona9;2022-05-17 00:00:00+02:00;223.0
loginCountZone;OWM Zona8;2022-05-17 00:00:00+02:00;205.0
loginCountZone;OWM Zona7;2022-05-17 00:00:00+02:00;188.0
loginCountZone;OWM Zona6;2022-05-17 00:00:00+02:00;391.0
loginCountZone;OWM Zona5;2022-05-17 00:00:00+02:00;184.0
loginCountZone;OWM Zona4;2022-05-17 00:00:00+02:00;175.0
loginCountZone;OWM Zona3;2022-05-17 00:00:00+02:00;446.0
loginCountZone;OWM Zona2;2022-05-17 00:00:00+02:00;133.0
loginCountZone;OWM Zona1;2022-05-17 00:00:00+02:00;292.0
loginCountZone;OWM Zona9;2022-05-16 00:00:00+02:00;194.0
loginCountZone;OWM Zona8;2022-05-16 00:00:00+02:00;228.0
loginCountZone;OWM Zona7;2022-05-16 00:00:00+02:00;143.0
loginCountZone;OWM Zona6;2022-05-16 00:00:00+02:00;342.0
loginCountZone;OWM Zona5;2022-05-16 00:00:00+02:00;166.0
loginCountZone;OWM Zona4;2022-05-16 00:00:00+02:00;229.0
loginCountZone;OWM Zona3;2022-05-16 00:00:00+02:00;422.0
loginCountZone;OWM Zona2;2022-05-16 00:00:00+02:00;167.0
loginCountZone;OWM Zona1;2022-05-16 00:00:00+02:00;314.0
loginCountZone;OWM Zona9;2022-05-15 00:00:00+02:00;187.0
loginCountZone;OWM Zona8;2022-05-15 00:00:00+02:00;225.0
loginCountZone;OWM Zona7;2022-05-15 00:00:00+02:00;130.0
loginCountZone;OWM Zona6;2022-05-15 00:00:00+02:00;439.0
loginCountZone;OWM Zona5;2022-05-15 00:00:00+02:00;144.0
loginCountZone;OWM Zona4;2022-05-15 00:00:00+02:00;241.0
loginCountZone;OWM Zona3;2022-05-15 00:00:00+02:00;437.0
loginCountZone;OWM Zona2;2022-05-15 00:00:00+02:00;143.0
loginCountZone;OWM Zona1;2022-05-15 00:00:00+02:00;280.0
loginCountZone;OWM Zona9;2022-05-14 00:00:00+02:00;262.0
loginCountZone;OWM Zona8;2022-05-14 00:00:00+02:00;253.0
loginCountZone;OWM Zona7;2022-05-14 00:00:00+02:00;172.0
loginCountZone;OWM Zona6;2022-05-14 00:00:00+02:00;554.0
loginCountZone;OWM Zona5;2022-05-14 00:00:00+02:00;199.0
loginCountZone;OWM Zona4;2022-05-14 00:00:00+02:00;315.0
loginCountZone;OWM Zona3;2022-05-14 00:00:00+02:00;585.0
loginCountZone;OWM Zona2;2022-05-14 00:00:00+02:00;178.0
loginCountZone;OWM Zona1;2022-05-14 00:00:00+02:00;355.0
loginCountZone;OWM Zona9;2022-05-13 00:00:00+02:00;298.0
loginCountZone;OWM Zona8;2022-05-13 00:00:00+02:00;356.0
loginCountZone;OWM Zona7;2022-05-13 00:00:00+02:00;273.0
loginCountZone;OWM Zona6;2022-05-13 00:00:00+02:00;614.0
loginCountZone;OWM Zona5;2022-05-13 00:00:00+02:00;263.0
loginCountZone;OWM Zona4;2022-05-13 00:00:00+02:00;348.0
loginCountZone;OWM Zona3;2022-05-13 00:00:00+02:00;697.0
loginCountZone;OWM Zona2;2022-05-13 00:00:00+02:00;207.0
loginCountZone;OWM Zona1;2022-05-13 00:00:00+02:00;446.0
loginCountZone;OWM Zona9;2022-05-12 00:00:00+02:00;290.0
loginCountZone;OWM Zona8;2022-05-12 00:00:00+02:00;322.0
loginCountZone;OWM Zona7;2022-05-12 00:00:00+02:00;255.0
loginCountZone;OWM Zona6;2022-05-12 00:00:00+02:00;624.0
loginCountZone;OWM Zona5;2022-05-12 00:00:00+02:00;267.0
loginCountZone;OWM Zona4;2022-05-12 00:00:00+02:00;345.0
loginCountZone;OWM Zona3;2022-05-12 00:00:00+02:00;709.0
loginCountZone;OWM Zona2;2022-05-12 00:00:00+02:00;218.0
loginCountZone;OWM Zona1;2022-05-12 00:00:00+02:00;489.0
loginCountZone;OWM Zona9;2022-05-11 00:00:00+02:00;330.0
loginCountZone;OWM Zona8;2022-05-11 00:00:00+02:00;333.0
loginCountZone;OWM Zona7;2022-05-11 00:00:00+02:00;230.0
loginCountZone;OWM Zona6;2022-05-11 00:00:00+02:00;631.0
loginCountZone;OWM Zona5;2022-05-11 00:00:00+02:00;260.0
loginCountZone;OWM Zona4;2022-05-11 00:00:00+02:00;360.0
loginCountZone;OWM Zona3;2022-05-11 00:00:00+02:00;653.0
loginCountZone;OWM Zona2;2022-05-11 00:00:00+02:00;222.0
loginCountZone;OWM Zona1;2022-05-11 00:00:00+02:00;492.0
loginCountZone;OWM Zona9;2022-05-10 00:00:00+02:00;292.0
loginCountZone;OWM Zona8;2022-05-10 00:00:00+02:00;383.0
loginCountZone;OWM Zona7;2022-05-10 00:00:00+02:00;262.0
loginCountZone;OWM Zona6;2022-05-10 00:00:00+02:00;579.0
loginCountZone;OWM Zona5;2022-05-10 00:00:00+02:00;280.0
loginCountZone;OWM Zona4;2022-05-10 00:00:00+02:00;343.0
loginCountZone;OWM Zona3;2022-05-10 00:00:00+02:00;682.0
loginCountZone;OWM Zona2;2022-05-10 00:00:00+02:00;220.0
loginCountZone;OWM Zona1;2022-05-10 00:00:00+02:00;550.0
loginCountZone;OWM Zona9;2022-05-09 00:00:00+02:00;294.0
loginCountZone;OWM Zona8;2022-05-09 00:00:00+02:00;352.0
loginCountZone;OWM Zona7;2022-05-09 00:00:00+02:00;225.0
loginCountZone;OWM Zona6;2022-05-09 00:00:00+02:00;565.0
loginCountZone;OWM Zona5;2022-05-09 00:00:00+02:00;262.0
loginCountZone;OWM Zona4;2022-05-09 00:00:00+02:00;344.0
loginCountZone;OWM Zona3;2022-05-09 00:00:00+02:00;625.0
loginCountZone;OWM Zona2;2022-05-09 00:00:00+02:00;219.0
loginCountZone;OWM Zona1;2022-05-09 00:00:00+02:00;469.0
loginCountZone;OWM Zona9;2022-05-08 00:00:00+02:00;71.0
loginCountZone;OWM Zona8;2022-05-08 00:00:00+02:00;86.0
loginCountZone;OWM Zona7;2022-05-08 00:00:00+02:00;85.0
loginCountZone;OWM Zona6;2022-05-08 00:00:00+02:00;182.0
loginCountZone;OWM Zona5;2022-05-08 00:00:00+02:00;76.0
loginCountZone;OWM Zona4;2022-05-08 00:00:00+02:00;125.0
loginCountZone;OWM Zona3;2022-05-08 00:00:00+02:00;204.0
loginCountZone;OWM Zona2;2022-05-08 00:00:00+02:00;83.0
loginCountZone;OWM Zona1;2022-05-08 00:00:00+02:00;119.0
loginCountZone;OWM Zona9;2022-05-07 00:00:00+02:00;227.0
loginCountZone;OWM Zona8;2022-05-07 00:00:00+02:00;278.0
loginCountZone;OWM Zona7;2022-05-07 00:00:00+02:00;197.0
loginCountZone;OWM Zona6;2022-05-07 00:00:00+02:00;608.0
loginCountZone;OWM Zona5;2022-05-07 00:00:00+02:00;211.0
loginCountZone;OWM Zona4;2022-05-07 00:00:00+02:00;292.0
loginCountZone;OWM Zona3;2022-05-07 00:00:00+02:00;597.0
loginCountZone;OWM Zona2;2022-05-07 00:00:00+02:00;152.0
loginCountZone;OWM Zona1;2022-05-07 00:00:00+02:00;417.0
loginCountZone;OWM Zona9;2022-05-06 00:00:00+02:00;283.0
loginCountZone;OWM Zona8;2022-05-06 00:00:00+02:00;257.0
loginCountZone;OWM Zona7;2022-05-06 00:00:00+02:00;315.0
loginCountZone;OWM Zona6;2022-05-06 00:00:00+02:00;516.0
loginCountZone;OWM Zona5;2022-05-06 00:00:00+02:00;271.0
loginCountZone;OWM Zona4;2022-05-06 00:00:00+02:00;302.0
loginCountZone;OWM Zona3;2022-05-06 00:00:00+02:00;609.0
loginCountZone;OWM Zona2;2022-05-06 00:00:00+02:00;199.0
loginCountZone;OWM Zona1;2022-05-06 00:00:00+02:00;400.0
loginCountZone;OWM Zona9;2022-05-05 00:00:00+02:00;260.0
loginCountZone;OWM Zona8;2022-05-05 00:00:00+02:00;286.0
loginCountZone;OWM Zona7;2022-05-05 00:00:00+02:00;420.0
loginCountZone;OWM Zona6;2022-05-05 00:00:00+02:00;500.0
loginCountZone;OWM Zona5;2022-05-05 00:00:00+02:00;227.0
loginCountZone;OWM Zona4;2022-05-05 00:00:00+02:00;384.0
loginCountZone;OWM Zona3;2022-05-05 00:00:00+02:00;682.0
loginCountZone;OWM Zona2;2022-05-05 00:00:00+02:00;212.0
loginCountZone;OWM Zona1;2022-05-05 00:00:00+02:00;423.0
loginCountZone;OWM Zona9;2022-05-04 00:00:00+02:00;312.0
loginCountZone;OWM Zona8;2022-05-04 00:00:00+02:00;311.0
loginCountZone;OWM Zona7;2022-05-04 00:00:00+02:00;262.0
loginCountZone;OWM Zona6;2022-05-04 00:00:00+02:00;603.0
loginCountZone;OWM Zona5;2022-05-04 00:00:00+02:00;279.0
loginCountZone;OWM Zona4;2022-05-04 00:00:00+02:00;409.0
loginCountZone;OWM Zona3;2022-05-04 00:00:00+02:00;625.0
loginCountZone;OWM Zona2;2022-05-04 00:00:00+02:00;215.0
loginCountZone;OWM Zona1;2022-05-04 00:00:00+02:00;349.0
loginCountZone;OWM Zona9;2022-05-03 00:00:00+02:00;309.0
loginCountZone;OWM Zona8;2022-05-03 00:00:00+02:00;367.0
loginCountZone;OWM Zona7;2022-05-03 00:00:00+02:00;226.0
loginCountZone;OWM Zona6;2022-05-03 00:00:00+02:00;501.0
loginCountZone;OWM Zona5;2022-05-03 00:00:00+02:00;303.0
loginCountZone;OWM Zona4;2022-05-03 00:00:00+02:00;359.0
loginCountZone;OWM Zona3;2022-05-03 00:00:00+02:00;668.0
loginCountZone;OWM Zona2;2022-05-03 00:00:00+02:00;214.0
loginCountZone;OWM Zona1;2022-05-03 00:00:00+02:00;472.0
loginCountZone;OWM Zona9;2022-05-02 00:00:00+02:00;326.0
loginCountZone;OWM Zona8;2022-05-02 00:00:00+02:00;415.0
loginCountZone;OWM Zona7;2022-05-02 00:00:00+02:00;236.0
loginCountZone;OWM Zona6;2022-05-02 00:00:00+02:00;617.0
loginCountZone;OWM Zona5;2022-05-02 00:00:00+02:00;252.0
loginCountZone;OWM Zona4;2022-05-02 00:00:00+02:00;333.0
loginCountZone;OWM Zona3;2022-05-02 00:00:00+02:00;661.0
loginCountZone;OWM Zona2;2022-05-02 00:00:00+02:00;226.0
loginCountZone;OWM Zona1;2022-05-02 00:00:00+02:00;518.0
loginCountZone;OWM Zona9;2022-05-01 00:00:00+02:00;200.0
loginCountZone;OWM Zona8;2022-05-01 00:00:00+02:00;296.0
loginCountZone;OWM Zona7;2022-05-01 00:00:00+02:00;176.0
loginCountZone;OWM Zona6;2022-05-01 00:00:00+02:00;439.0
loginCountZone;OWM Zona5;2022-05-01 00:00:00+02:00;196.0
loginCountZone;OWM Zona4;2022-05-01 00:00:00+02:00;268.0
loginCountZone;OWM Zona3;2022-05-01 00:00:00+02:00;424.0
loginCountZone;OWM Zona2;2022-05-01 00:00:00+02:00;188.0
loginCountZone;OWM Zona1;2022-05-01 00:00:00+02:00;258.0
loginCountZone;OWM Zona9;2022-04-30 00:00:00+02:00;261.0
loginCountZone;OWM Zona8;2022-04-30 00:00:00+02:00;358.0
loginCountZone;OWM Zona7;2022-04-30 00:00:00+02:00;243.0
loginCountZone;OWM Zona6;2022-04-30 00:00:00+02:00;635.0
loginCountZone;OWM Zona5;2022-04-30 00:00:00+02:00;220.0
loginCountZone;OWM Zona4;2022-04-30 00:00:00+02:00;337.0
loginCountZone;OWM Zona3;2022-04-30 00:00:00+02:00;621.0
