Tipologia_API;Data;Valore
Registered;2022-05-21 00:00:00+02:00;254
Registered;2022-05-20 00:00:00+02:00;260
Registered;2022-05-19 00:00:00+02:00;269
Registered;2022-05-18 00:00:00+02:00;284
Registered;2022-05-17 00:00:00+02:00;258
Registered;2022-05-16 00:00:00+02:00;154
Registered;2022-05-15 00:00:00+02:00;150
Registered;2022-05-14 00:00:00+02:00;262
Registered;2022-05-13 00:00:00+02:00;266
Registered;2022-05-12 00:00:00+02:00;251
Registered;2022-05-11 00:00:00+02:00;380
Registered;2022-05-10 00:00:00+02:00;435
Registered;2022-05-09 00:00:00+02:00;329
Registered;2022-05-08 00:00:00+02:00;61
Registered;2022-05-07 00:00:00+02:00;430
Registered;2022-05-06 00:00:00+02:00;349
Registered;2022-05-05 00:00:00+02:00;353
Registered;2022-05-04 00:00:00+02:00;337
Registered;2022-05-03 00:00:00+02:00;304
Registered;2022-05-02 00:00:00+02:00;228
Registered;2022-05-01 00:00:00+02:00;133
Registered;2022-04-30 00:00:00+02:00;300
Registered;2022-04-29 00:00:00+02:00;309
Registered;2022-04-28 00:00:00+02:00;241
Registered;2022-04-27 00:00:00+02:00;234
Registered;2022-04-26 00:00:00+02:00;310
Registered;2022-04-25 00:00:00+02:00;143
Registered;2022-04-24 00:00:00+02:00;182
Registered;2022-04-23 00:00:00+02:00;280
Registered;2022-04-22 00:00:00+02:00;333
Registered;2022-04-21 00:00:00+02:00;338
Registered;2022-04-20 00:00:00+02:00;406
Registered;2022-04-19 00:00:00+02:00;348
Registered;2022-04-18 00:00:00+02:00;241
Registered;2022-04-17 00:00:00+02:00;352
Registered;2022-04-16 00:00:00+02:00;301
Registered;2022-04-15 00:00:00+02:00;375
Registered;2022-04-14 00:00:00+02:00;319
Registered;2022-04-13 00:00:00+02:00;340
Registered;2022-04-12 00:00:00+02:00;363
Registered;2022-04-11 00:00:00+02:00;257
Registered;2022-04-10 00:00:00+02:00;132
Registered;2022-04-09 00:00:00+02:00;276
Registered;2022-04-08 00:00:00+02:00;352
Registered;2022-04-07 00:00:00+02:00;295
Registered;2022-04-06 00:00:00+02:00;301
Registered;2022-04-05 00:00:00+02:00;317
Registered;2022-04-04 00:00:00+02:00;294
Registered;2022-04-03 00:00:00+02:00;138
Registered;2022-04-02 00:00:00+02:00;232
Registered;2022-04-01 00:00:00+02:00;271
Registered;2022-03-31 00:00:00+02:00;268
Registered;2022-03-30 00:00:00+02:00;233
Registered;2022-03-29 00:00:00+02:00;301
Registered;2022-03-28 00:00:00+02:00;219
Registered;2022-03-27 00:00:00+01:00;136
Registered;2022-03-26 00:00:00+01:00;263
Registered;2022-03-25 00:00:00+01:00;250
Registered;2022-03-24 00:00:00+01:00;219
Registered;2022-03-23 00:00:00+01:00;231
Registered;2022-03-22 00:00:00+01:00;306
Registered;2022-03-21 00:00:00+01:00;189
Registered;2022-03-20 00:00:00+01:00;97
Registered;2022-03-19 00:00:00+01:00;246
Registered;2022-03-18 00:00:00+01:00;224
Registered;2022-03-17 00:00:00+01:00;304
Registered;2022-03-16 00:00:00+01:00;269
Registered;2022-03-15 00:00:00+01:00;277
Registered;2022-03-14 00:00:00+01:00;200
Registered;2022-03-13 00:00:00+01:00;88
Registered;2022-03-12 00:00:00+01:00;248
Registered;2022-03-11 00:00:00+01:00;209
Registered;2022-03-10 00:00:00+01:00;258
Registered;2022-03-09 00:00:00+01:00;176
Registered;2022-03-08 00:00:00+01:00;179
Registered;2022-03-07 00:00:00+01:00;181
Registered;2022-03-06 00:00:00+01:00;78
Registered;2022-03-05 00:00:00+01:00;164
Registered;2022-03-04 00:00:00+01:00;212
Registered;2022-03-03 00:00:00+01:00;220
Registered;2022-03-02 00:00:00+01:00;189
Registered;2022-03-01 00:00:00+01:00;223
Registered;2022-02-28 00:00:00+01:00;225
Registered;2022-02-27 00:00:00+01:00;64
Registered;2022-02-26 00:00:00+01:00;195
Registered;2022-02-25 00:00:00+01:00;213
Registered;2022-02-24 00:00:00+01:00;210
Registered;2022-02-23 00:00:00+01:00;131
Registered;2022-02-22 00:00:00+01:00;179
Registered;2022-02-21 00:00:00+01:00;151
Registered;2022-02-20 00:00:00+01:00;57
Registered;2022-02-19 00:00:00+01:00;143
Registered;2022-02-18 00:00:00+01:00;123
Registered;2022-02-17 00:00:00+01:00;162
Registered;2022-02-16 00:00:00+01:00;172
Registered;2022-02-15 00:00:00+01:00;126
Registered;2022-02-14 00:00:00+01:00;123
Registered;2022-02-13 00:00:00+01:00;35
Registered;2022-02-12 00:00:00+01:00;97
Registered;2022-02-11 00:00:00+01:00;129
Registered;2022-02-10 00:00:00+01:00;140
Registered;2022-02-09 00:00:00+01:00;161
Registered;2022-02-08 00:00:00+01:00;149
Registered;2022-02-07 00:00:00+01:00;119
Registered;2022-02-06 00:00:00+01:00;67
Registered;2022-02-05 00:00:00+01:00;111
Registered;2022-02-04 00:00:00+01:00;124
Registered;2022-02-03 00:00:00+01:00;156
Registered;2022-02-02 00:00:00+01:00;163
Registered;2022-02-01 00:00:00+01:00;175
Registered;2022-01-31 00:00:00+01:00;91
Registered;2022-01-30 00:00:00+01:00;45
Registered;2022-01-29 00:00:00+01:00;124
Registered;2022-01-28 00:00:00+01:00;165
Registered;2022-01-27 00:00:00+01:00;182
Registered;2022-01-26 00:00:00+01:00;234
Registered;2022-01-25 00:00:00+01:00;269
Registered;2022-01-24 00:00:00+01:00;171
Registered;2022-01-23 00:00:00+01:00;47
Registered;2022-01-22 00:00:00+01:00;143
Registered;2022-01-21 00:00:00+01:00;213
Registered;2022-01-20 00:00:00+01:00;203
Registered;2022-01-19 00:00:00+01:00;208
Registered;2022-01-18 00:00:00+01:00;226
Registered;2022-01-17 00:00:00+01:00;183
Registered;2022-01-16 00:00:00+01:00;34
Registered;2022-01-15 00:00:00+01:00;174
Registered;2022-01-14 00:00:00+01:00;154
Registered;2022-01-13 00:00:00+01:00;199
Registered;2022-01-12 00:00:00+01:00;179
Registered;2022-01-11 00:00:00+01:00;201
Registered;2022-01-10 00:00:00+01:00;192
Registered;2022-01-09 00:00:00+01:00;43
Registered;2022-01-08 00:00:00+01:00;72
Registered;2022-01-07 00:00:00+01:00;125
Registered;2022-01-06 00:00:00+01:00;45
Registered;2022-01-05 00:00:00+01:00;128
Registered;2022-01-04 00:00:00+01:00;129
Registered;2022-01-03 00:00:00+01:00;132
Registered;2022-01-02 00:00:00+01:00;61
Registered;2022-01-01 00:00:00+01:00;63
Registered;2021-12-31 00:00:00+01:00;75
Registered;2021-12-30 00:00:00+01:00;121
Registered;2021-12-29 00:00:00+01:00;138
Registered;2021-12-28 00:00:00+01:00;141
Registered;2021-12-27 00:00:00+01:00;94
Registered;2021-12-26 00:00:00+01:00;31
Registered;2021-12-25 00:00:00+01:00;26
Registered;2021-12-24 00:00:00+01:00;52
Registered;2021-12-23 00:00:00+01:00;71
Registered;2021-12-22 00:00:00+01:00;142
Registered;2021-12-21 00:00:00+01:00;157
Registered;2021-12-20 00:00:00+01:00;112
Registered;2021-12-19 00:00:00+01:00;41
Registered;2021-12-18 00:00:00+01:00;100
Registered;2021-12-17 00:00:00+01:00;123
Registered;2021-12-16 00:00:00+01:00;142
Registered;2021-12-15 00:00:00+01:00;179
Registered;2021-12-14 00:00:00+01:00;209
Registered;2021-12-13 00:00:00+01:00;193
Registered;2021-12-12 00:00:00+01:00;68
Registered;2021-12-11 00:00:00+01:00;236
Registered;2021-12-10 00:00:00+01:00;215
Registered;2021-12-09 00:00:00+01:00;370
Registered;2021-12-08 00:00:00+01:00;54
Registered;2021-12-07 00:00:00+01:00;49
Registered;2021-12-06 00:00:00+01:00;84
Registered;2021-12-05 00:00:00+01:00;80
Registered;2021-12-04 00:00:00+01:00;192
Registered;2021-12-03 00:00:00+01:00;205
Registered;2021-12-02 00:00:00+01:00;269
Registered;2021-12-01 00:00:00+01:00;290
Registered;2021-11-30 00:00:00+01:00;252
Registered;2021-11-29 00:00:00+01:00;228
Registered;2021-11-28 00:00:00+01:00;62
Registered;2021-11-27 00:00:00+01:00;205
Registered;2021-11-26 00:00:00+01:00;256
Registered;2021-11-25 00:00:00+01:00;241
Registered;2021-11-24 00:00:00+01:00;294
Registered;2021-11-23 00:00:00+01:00;270
Registered;2021-11-22 00:00:00+01:00;207
Registered;2021-11-21 00:00:00+01:00;110
Registered;2021-11-20 00:00:00+01:00;257
Registered;2021-11-19 00:00:00+01:00;261
Registered;2021-11-18 00:00:00+01:00;318
Registered;2021-11-17 00:00:00+01:00;265
Registered;2021-11-16 00:00:00+01:00;315
Registered;2021-11-15 00:00:00+01:00;195
Registered;2021-11-14 00:00:00+01:00;91
Registered;2021-11-13 00:00:00+01:00;195
Registered;2021-11-12 00:00:00+01:00;381
Registered;2021-11-11 00:00:00+01:00;318
Registered;2021-11-10 00:00:00+01:00;269
Registered;2021-11-09 00:00:00+01:00;287
Registered;2021-11-08 00:00:00+01:00;225
Registered;2021-11-07 00:00:00+01:00;103
Registered;2021-11-06 00:00:00+01:00;255
Registered;2021-11-05 00:00:00+01:00;265
Registered;2021-11-04 00:00:00+01:00;276
Registered;2021-11-03 00:00:00+01:00;254
Registered;2021-11-02 00:00:00+01:00;319
Registered;2021-11-01 00:00:00+01:00;41
Registered;2021-10-31 00:00:00+02:00;106
Registered;2021-10-30 00:00:00+02:00;179
Registered;2021-10-29 00:00:00+02:00;240
Registered;2021-10-28 00:00:00+02:00;237
Registered;2021-10-27 00:00:00+02:00;347
Registered;2021-10-26 00:00:00+02:00;325
Registered;2021-10-25 00:00:00+02:00;155
Registered;2021-10-24 00:00:00+02:00;145
Registered;2021-10-23 00:00:00+02:00;296
Registered;2021-10-22 00:00:00+02:00;355
Registered;2021-10-21 00:00:00+02:00;323
Registered;2021-10-20 00:00:00+02:00;334
Registered;2021-10-19 00:00:00+02:00;315
Registered;2021-10-18 00:00:00+02:00;168
Registered;2021-10-17 00:00:00+02:00;151
Registered;2021-10-16 00:00:00+02:00;245
Registered;2021-10-15 00:00:00+02:00;321
Registered;2021-10-14 00:00:00+02:00;324
Registered;2021-10-13 00:00:00+02:00;322
Registered;2021-10-12 00:00:00+02:00;365
Registered;2021-10-11 00:00:00+02:00;222
Registered;2021-10-10 00:00:00+02:00;150
Registered;2021-10-09 00:00:00+02:00;237
Registered;2021-10-08 00:00:00+02:00;303
Registered;2021-10-07 00:00:00+02:00;143
Registered;2021-10-06 00:00:00+02:00;138
Registered;2021-10-05 00:00:00+02:00;248
Registered;2021-10-04 00:00:00+02:00;252
Registered;2021-10-03 00:00:00+02:00;169
Registered;2021-10-02 00:00:00+02:00;242
Registered;2021-10-01 00:00:00+02:00;264
Registered;2021-09-30 00:00:00+02:00;276
Registered;2021-09-29 00:00:00+02:00;279
Registered;2021-09-28 00:00:00+02:00;277
Registered;2021-09-27 00:00:00+02:00;234
Registered;2021-09-26 00:00:00+02:00;133
Registered;2021-09-25 00:00:00+02:00;215
Registered;2021-09-24 00:00:00+02:00;283
Registered;2021-09-23 00:00:00+02:00;120
Registered;2021-09-22 00:00:00+02:00;214
Registered;2021-09-21 00:00:00+02:00;172
Registered;2021-09-20 00:00:00+02:00;142
Registered;2021-09-19 00:00:00+02:00;94
Registered;2021-09-18 00:00:00+02:00;167
Registered;2021-09-17 00:00:00+02:00;206
Registered;2021-09-16 00:00:00+02:00;174
Registered;2021-09-15 00:00:00+02:00;195
Registered;2021-09-14 00:00:00+02:00;187
Registered;2021-09-13 00:00:00+02:00;152
Registered;2021-09-12 00:00:00+02:00;121
Registered;2021-09-11 00:00:00+02:00;138
Registered;2021-09-10 00:00:00+02:00;181
Registered;2021-09-09 00:00:00+02:00;208
Registered;2021-09-08 00:00:00+02:00;153
Registered;2021-09-07 00:00:00+02:00;206
Registered;2021-09-06 00:00:00+02:00;150
Registered;2021-09-05 00:00:00+02:00;120
Registered;2021-09-04 00:00:00+02:00;186
Registered;2021-09-03 00:00:00+02:00;177
Registered;2021-09-02 00:00:00+02:00;167
Registered;2021-09-01 00:00:00+02:00;167
Registered;2021-08-31 00:00:00+02:00;176
Registered;2021-08-30 00:00:00+02:00;129
Registered;2021-08-29 00:00:00+02:00;109
Registered;2021-08-28 00:00:00+02:00;136
Registered;2021-08-27 00:00:00+02:00;132
Registered;2021-08-26 00:00:00+02:00;147
Registered;2021-08-25 00:00:00+02:00;160
Registered;2021-08-24 00:00:00+02:00;148
Registered;2021-08-23 00:00:00+02:00;140
Registered;2021-08-22 00:00:00+02:00;112
Registered;2021-08-21 00:00:00+02:00;116
Registered;2021-08-20 00:00:00+02:00;148
Registered;2021-08-19 00:00:00+02:00;161
Registered;2021-08-18 00:00:00+02:00;145
Registered;2021-08-17 00:00:00+02:00;134
Registered;2021-08-16 00:00:00+02:00;128
Registered;2021-08-15 00:00:00+02:00;99
Registered;2021-08-14 00:00:00+02:00;101
Registered;2021-08-13 00:00:00+02:00;169
Registered;2021-08-12 00:00:00+02:00;133
Registered;2021-08-11 00:00:00+02:00;145
Registered;2021-08-10 00:00:00+02:00;219
Registered;2021-08-09 00:00:00+02:00;210
Registered;2021-08-08 00:00:00+02:00;197
Registered;2021-08-07 00:00:00+02:00;269
Registered;2021-08-06 00:00:00+02:00;222
Registered;2021-08-05 00:00:00+02:00;277
Registered;2021-08-04 00:00:00+02:00;275
Registered;2021-08-03 00:00:00+02:00;301
Registered;2021-08-02 00:00:00+02:00;218
Registered;2021-08-01 00:00:00+02:00;186
Registered;2021-07-31 00:00:00+02:00;197
Registered;2021-07-30 00:00:00+02:00;277
Registered;2021-07-29 00:00:00+02:00;278
Registered;2021-07-28 00:00:00+02:00;693
Registered;2021-07-27 00:00:00+02:00;157
Registered;2021-07-26 00:00:00+02:00;248
Registered;2021-07-25 00:00:00+02:00;183
Registered;2021-07-24 00:00:00+02:00;246
Registered;2021-07-23 00:00:00+02:00;294
Registered;2021-07-22 00:00:00+02:00;292
Registered;2021-07-21 00:00:00+02:00;278
Registered;2021-07-20 00:00:00+02:00;292
Registered;2021-07-19 00:00:00+02:00;190
Registered;2021-07-18 00:00:00+02:00;228
Registered;2021-07-17 00:00:00+02:00;278
Registered;2021-07-16 00:00:00+02:00;247
Registered;2021-07-15 00:00:00+02:00;254
Registered;2021-07-14 00:00:00+02:00;265
Registered;2021-07-13 00:00:00+02:00;309
Registered;2021-07-12 00:00:00+02:00;209
Registered;2021-07-11 00:00:00+02:00;212
Registered;2021-07-10 00:00:00+02:00;240
Registered;2021-07-09 00:00:00+02:00;243
Registered;2021-07-08 00:00:00+02:00;189
Registered;2021-07-07 00:00:00+02:00;215
Registered;2021-07-06 00:00:00+02:00;242
Registered;2021-07-05 00:00:00+02:00;222
Registered;2021-07-04 00:00:00+02:00;132
Registered;2021-07-03 00:00:00+02:00;178
Registered;2021-07-02 00:00:00+02:00;216
Registered;2021-07-01 00:00:00+02:00;206
Registered;2021-06-30 00:00:00+02:00;176
Registered;2021-06-29 00:00:00+02:00;253
Registered;2021-06-28 00:00:00+02:00;184
Registered;2021-06-27 00:00:00+02:00;104
Registered;2021-06-26 00:00:00+02:00;185
Registered;2021-06-25 00:00:00+02:00;244
Registered;2021-06-24 00:00:00+02:00;214
Registered;2021-06-23 00:00:00+02:00;209
Registered;2021-06-22 00:00:00+02:00;240
Registered;2021-06-21 00:00:00+02:00;227
Registered;2021-06-20 00:00:00+02:00;144
Registered;2021-06-19 00:00:00+02:00;156
Registered;2021-06-18 00:00:00+02:00;220
Registered;2021-06-17 00:00:00+02:00;220
Registered;2021-06-16 00:00:00+02:00;233
Registered;2021-06-15 00:00:00+02:00;256
Registered;2021-06-14 00:00:00+02:00;148
Registered;2021-06-13 00:00:00+02:00;56
Registered;2021-06-12 00:00:00+02:00;159
Registered;2021-06-11 00:00:00+02:00;214
Registered;2021-06-10 00:00:00+02:00;169
Registered;2021-06-09 00:00:00+02:00;215
Registered;2021-06-08 00:00:00+02:00;187
Registered;2021-06-07 00:00:00+02:00;160
Registered;2021-06-06 00:00:00+02:00;84
Registered;2021-06-05 00:00:00+02:00;184
Registered;2021-06-04 00:00:00+02:00;212
Registered;2021-06-03 00:00:00+02:00;227
Registered;2021-06-02 00:00:00+02:00;95
