OBJECTID;Area;Funzionante;VIA___P_zza___Corso;Indirizzo;Civico;Città;CAP;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
1;Piazza San Gioachimo;SI;Via;Viviani;2;MILANO;20124;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.197790000000055;45.48121000000003;(45.48121000000003, 9.197790000000055)
2;Lagosta;SI;Viale;Zara;2;MILANO;20124;2;11;ISOLA;9.191550000000063;45.48994000000005;(45.48994000000005, 9.191550000000063)
9;Piazzale Segrino;SI;Piazzale;Segrino;2;MILANO;20159;9;11;ISOLA;9.18930000000006;45.49010000000004;(45.49010000000004, 9.18930000000006)
10;Via G.B. Pirelli;SI;Via;del Borromeo;;MILANO;20124;9;9;PORTA GARIBALDI - PORTA NUOVA;9.196070000000077;45.48522000000003;(45.48522000000003, 9.196070000000077)
15;G.ni Montello;SI;Viale;Montello;8;MILANO;20154;1;69;SARPI;9.181210000000021;45.48093000000006;(45.48093000000006, 9.181210000000021)
16;Bastioni Porta Volta;SI;Bastioni;di Porta Volta;3;MILANO;20121;1;2;BRERA;9.182250000000067;45.48050000000006;(45.48050000000006, 9.182250000000067)
17;Bastioni Porta Volta;SI;Via;Francesco Crispi;15;MILANO;20154;1;2;BRERA;9.183660000000032;45.48136000000005;(45.48136000000005, 9.183660000000032)
18;Bastioni Porta Volta;SI;Via ;Alessandro Volta;20;MILANO;20121;1;69;SARPI;9.18214000000006;45.48133000000007;(45.48133000000007, 9.18214000000006)
19;Viale Pasubio;SI;Viale;Pasubio;1;MILANO;20154;9;9;PORTA GARIBALDI - PORTA NUOVA;9.186110000000042;45.48120000000006;(45.48120000000006, 9.186110000000042)
20;Corso Como;SI;Corso;Como;11;MILANO;20154;9;9;PORTA GARIBALDI - PORTA NUOVA;9.187350000000038;45.482300000000066;(45.482300000000066, 9.187350000000038)
21;G.ni Populonia;SI;Via;Populonia;4;MILANO;20159;9;12;MACIACHINI - MAGGIOLINA;9.18912000000006;45.50098000000003;(45.50098000000003, 9.18912000000006)
22;G.ni Populonia;SI;Via;Valassina;35;MILANO;20159;9;12;MACIACHINI - MAGGIOLINA;9.18817000000007;45.50115000000005;(45.50115000000005, 9.18817000000007)
23;Piazzale Nizza;SI;Piazzale;Nizza;;MILANO;20159;9;12;MACIACHINI - MAGGIOLINA;9.18903000000006;45.50368000000003;(45.50368000000003, 9.18903000000006)
24;G.ni Veglia+Asmara;SI;Via;Veglia;78;MILANO;20159;9;12;MACIACHINI - MAGGIOLINA;9.19605000000007;45.50222000000008;(45.50222000000008, 9.19605000000007)
25;G.ni Veglia+Asmara;SI;Via;Fiuggi;2;MILANO;20159;9;12;MACIACHINI - MAGGIOLINA;9.195720000000051;45.50350000000003;(45.50350000000003, 9.195720000000051)
26;G.ni Veglia+Asmara;SI;Via;Trescore;15;MILANO;20159;9;12;MACIACHINI - MAGGIOLINA;9.194590000000062;45.50225000000006;(45.50225000000006, 9.194590000000062)
27;G.ni Veglia+Asmara;SI;Via;Asmara;2;MILANO;20159;9;12;MACIACHINI - MAGGIOLINA;9.194510000000037;45.500470000000064;(45.500470000000064, 9.194510000000037)
28;P.le Ospedale Maggiore;SI;Piazza;dell'Ospedale Maggiore;3;MILANO;20162;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.19055000000003;45.50860000000006;(45.50860000000006, 9.19055000000003)
32;Graziano Imperatore 40;SI;Via;Ettore Majorana;;MILANO;20162;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.193340000000035;45.51315000000005;(45.51315000000005, 9.193340000000035)
33;Piazza Carbonari;SI;Piazza;Massari;;MILANO;20125;2;12;MACIACHINI - MAGGIOLINA;9.198220000000049;45.49526000000003;(45.49526000000003, 9.198220000000049)
34;Piazza Carbonari;SI;Piazza;Carbonari;;MILANO;20125;2;12;MACIACHINI - MAGGIOLINA;9.20148000000006;45.49424000000005;(45.49424000000005, 9.20148000000006)
35;Piazza Carbonari;SI;Piazza;Carbonari;;MILANO;20125;2;12;MACIACHINI - MAGGIOLINA;9.199840000000052;45.49485000000004;(45.49485000000004, 9.199840000000052)
36;Piazza Carbonari;SI;Piazza;Massari;;MILANO;20125;2;12;MACIACHINI - MAGGIOLINA;9.197840000000042;45.496020000000044;(45.496020000000044, 9.197840000000042)
37;Piazza Carbonari;SI;Piazza;Carbonari;;MILANO;20125;2;12;MACIACHINI - MAGGIOLINA;9.200420000000065;45.49294000000003;(45.49294000000003, 9.200420000000065)
38;Piazza Carbonari;SI;Piazza;Carbonari;;MILANO;20125;2;12;MACIACHINI - MAGGIOLINA;9.199130000000025;45.49315000000007;(45.49315000000007, 9.199130000000025)
39;Piazzale Farina;SI;Piazzale;Farina;13;MILANO;20125;2;12;MACIACHINI - MAGGIOLINA;9.199490000000026;45.49824000000007;(45.49824000000007, 9.199490000000026)
40;Via Perotti Comando PS;SI;Via;Perotti;1;MILANO;20125;2;12;MACIACHINI - MAGGIOLINA;9.200560000000053;45.50166000000007;(45.50166000000007, 9.200560000000053)
41;G.ni Cassina de Pomm;SI;Via;Tirano;;MILANO;20125;2;13;GRECO - SEGNANO;9.20909000000006;45.49757000000005;(45.49757000000005, 9.20909000000006)
42;G.ni Cassina de Pomm;SI;Via;Tirano;;MILANO;20125;2;13;GRECO - SEGNANO;9.210080000000062;45.49775000000005;(45.49775000000005, 9.210080000000062)
43;P.zzale Egeo + Greco FS;SI;Piazzale;Egeo;9;MILANO;20126;9;15;BICOCCA;9.214020000000062;45.51340000000005;(45.51340000000005, 9.214020000000062)
44;Viale dell'Innovazione;SI;Viale;dell'Innovazione;11;MILANO;20126;9;15;BICOCCA;9.213090000000022;45.51506000000006;(45.51506000000006, 9.213090000000022)
45;Viale dell'Innovazione;SI;Viale;dell'Innovazione;20;MILANO;20126;9;15;BICOCCA;9.212870000000066;45.51440000000008;(45.51440000000008, 9.212870000000066)
46;Viale dell'Innovazione;SI;Viale;dell'Innovazione;;MILANO;20126;9;15;BICOCCA;9.213820000000055;45.51643000000007;(45.51643000000007, 9.213820000000055)
47;Bignami CTO;SI;Via;Bignami;6;MILANO;20126;9;15;BICOCCA;9.213640000000055;45.526050000000055;(45.526050000000055, 9.213640000000055)
48;Via Ponale/Suzzani;SI;Via;Raffaello Giolli;1;MILANO;20162;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.209390000000042;45.523810000000026;(45.523810000000026, 9.209390000000042)
49;Via Ponale/Suzzani;SI;Via;Raffaello Giolli;9;MILANO;20162;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.210200000000043;45.525010000000066;(45.525010000000066, 9.210200000000043)
50;Giardini Suzzani/Arezzo;SI;Viale ;Suzzani;264;MILANO;20162;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.208570000000066;45.525360000000035;(45.525360000000035, 9.208570000000066)
51;Giardini Suzzani/Arezzo;SI;Viale ;Suzzani;279;MILANO;20162;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.209220000000073;45.52652000000006;(45.52652000000006, 9.209220000000073)
52;Via Ornato;SI;Via;Luigi Ornato;145;MILANO;20162;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.192260000000033;45.52547000000004;(45.52547000000004, 9.192260000000033)
53;Acerbi/Bruzzano;SI;Piazza;Bruzzano;8;MILANO;20161;9;83;BRUZZANO;9.17381000000006;45.52733000000006;(45.52733000000006, 9.17381000000006)
57;Sesto Marelli MM;SI;Viale;Monza;338;MILANO;20128;2;16;GORLA - PRECOTTO;9.22783000000004;45.522830000000056;(45.522830000000056, 9.22783000000004)
58;Parco Panza;SI;Via;Sant'Uguzzone;42;MILANO;20126;2;16;GORLA - PRECOTTO;9.222100000000069;45.52126000000004;(45.52126000000004, 9.222100000000069)
59;Parco Panza;SI;Via;Sant'Uguzzone;29;MILANO;20126;2;16;GORLA - PRECOTTO;9.22327000000007;45.521060000000034;(45.521060000000034, 9.22327000000007)
60;Parco Panza;SI;Via;Fortezza;40;MILANO;20126;2;16;GORLA - PRECOTTO;9.223910000000046;45.52198000000004;(45.52198000000004, 9.223910000000046)
61;Parco Franca Rame;SI;Via;Tremelloni;;MILANO;20128;2;17;ADRIANO;9.239210000000071;45.51621000000006;(45.51621000000006, 9.239210000000071)
