Tipologia_API;Zona;Data;Valore
sessionDuration;OWM Zona9;2022-05-21 00:00:00+02:00;237630000.0
sessionDuration;OWM Zona8;2022-05-21 00:00:00+02:00;268845000.0
sessionDuration;OWM Zona7;2022-05-21 00:00:00+02:00;274310000.0
sessionDuration;OWM Zona6;2022-05-21 00:00:00+02:00;411443000.0
sessionDuration;OWM Zona5;2022-05-21 00:00:00+02:00;185291000.0
sessionDuration;OWM Zona4;2022-05-21 00:00:00+02:00;401403000.0
sessionDuration;OWM Zona3;2022-05-21 00:00:00+02:00;432887000.0
sessionDuration;OWM Zona2;2022-05-21 00:00:00+02:00;207367000.0
sessionDuration;OWM Zona1;2022-05-21 00:00:00+02:00;355370000.0
sessionDuration;OWM Zona9;2022-05-20 00:00:00+02:00;258635000.0
sessionDuration;OWM Zona8;2022-05-20 00:00:00+02:00;205557000.0
sessionDuration;OWM Zona7;2022-05-20 00:00:00+02:00;296055000.0
sessionDuration;OWM Zona6;2022-05-20 00:00:00+02:00;440660000.0
sessionDuration;OWM Zona5;2022-05-20 00:00:00+02:00;205834000.0
sessionDuration;OWM Zona4;2022-05-20 00:00:00+02:00;252354000.0
sessionDuration;OWM Zona3;2022-05-20 00:00:00+02:00;489580000.0
sessionDuration;OWM Zona2;2022-05-20 00:00:00+02:00;107764000.0
sessionDuration;OWM Zona1;2022-05-20 00:00:00+02:00;278571000.0
sessionDuration;OWM Zona9;2022-05-19 00:00:00+02:00;319909000.0
sessionDuration;OWM Zona8;2022-05-19 00:00:00+02:00;303276000.0
sessionDuration;OWM Zona7;2022-05-19 00:00:00+02:00;360261000.0
sessionDuration;OWM Zona6;2022-05-19 00:00:00+02:00;430047000.0
sessionDuration;OWM Zona5;2022-05-19 00:00:00+02:00;183339000.0
sessionDuration;OWM Zona4;2022-05-19 00:00:00+02:00;337945000.0
sessionDuration;OWM Zona3;2022-05-19 00:00:00+02:00;453773000.0
sessionDuration;OWM Zona2;2022-05-19 00:00:00+02:00;152701000.0
sessionDuration;OWM Zona1;2022-05-19 00:00:00+02:00;301325000.0
sessionDuration;OWM Zona9;2022-05-18 00:00:00+02:00;287256000.0
sessionDuration;OWM Zona8;2022-05-18 00:00:00+02:00;451576000.0
sessionDuration;OWM Zona7;2022-05-18 00:00:00+02:00;316678000.0
sessionDuration;OWM Zona6;2022-05-18 00:00:00+02:00;327320000.0
sessionDuration;OWM Zona5;2022-05-18 00:00:00+02:00;208352000.0
sessionDuration;OWM Zona4;2022-05-18 00:00:00+02:00;377152000.0
sessionDuration;OWM Zona3;2022-05-18 00:00:00+02:00;446447000.0
sessionDuration;OWM Zona2;2022-05-18 00:00:00+02:00;136678000.0
sessionDuration;OWM Zona1;2022-05-18 00:00:00+02:00;265368000.0
sessionDuration;OWM Zona9;2022-05-17 00:00:00+02:00;204460000.0
