Tipologia_API;Zona;Data;Valore
sessionDownloadTraffic;OWM Zona9;2022-05-21 00:00:00+02:00;7192874106.0
sessionDownloadTraffic;OWM Zona8;2022-05-21 00:00:00+02:00;2770427725.0
sessionDownloadTraffic;OWM Zona7;2022-05-21 00:00:00+02:00;4620739369.0
sessionDownloadTraffic;OWM Zona6;2022-05-21 00:00:00+02:00;11823444484.0
sessionDownloadTraffic;OWM Zona5;2022-05-21 00:00:00+02:00;4535126566.0
sessionDownloadTraffic;OWM Zona4;2022-05-21 00:00:00+02:00;7212090531.0
sessionDownloadTraffic;OWM Zona3;2022-05-21 00:00:00+02:00;5427933852.0
sessionDownloadTraffic;OWM Zona2;2022-05-21 00:00:00+02:00;3051623814.0
sessionDownloadTraffic;OWM Zona1;2022-05-21 00:00:00+02:00;3730792398.0
sessionDownloadTraffic;OWM Zona9;2022-05-20 00:00:00+02:00;5224753083.0
sessionDownloadTraffic;OWM Zona8;2022-05-20 00:00:00+02:00;6422661674.0
sessionDownloadTraffic;OWM Zona7;2022-05-20 00:00:00+02:00;6082181683.0
sessionDownloadTraffic;OWM Zona6;2022-05-20 00:00:00+02:00;14335972762.0
sessionDownloadTraffic;OWM Zona5;2022-05-20 00:00:00+02:00;4584534194.0
sessionDownloadTraffic;OWM Zona4;2022-05-20 00:00:00+02:00;8283648893.0
sessionDownloadTraffic;OWM Zona3;2022-05-20 00:00:00+02:00;7141154259.0
sessionDownloadTraffic;OWM Zona2;2022-05-20 00:00:00+02:00;2076588777.0
sessionDownloadTraffic;OWM Zona1;2022-05-20 00:00:00+02:00;4840538381.0
sessionDownloadTraffic;OWM Zona9;2022-05-19 00:00:00+02:00;12460749749.0
sessionDownloadTraffic;OWM Zona8;2022-05-19 00:00:00+02:00;7841720384.0
sessionDownloadTraffic;OWM Zona7;2022-05-19 00:00:00+02:00;9028165455.0
sessionDownloadTraffic;OWM Zona6;2022-05-19 00:00:00+02:00;9426534784.0
sessionDownloadTraffic;OWM Zona5;2022-05-19 00:00:00+02:00;4867394202.0
sessionDownloadTraffic;OWM Zona4;2022-05-19 00:00:00+02:00;9407222145.0
sessionDownloadTraffic;OWM Zona3;2022-05-19 00:00:00+02:00;7477769392.0
sessionDownloadTraffic;OWM Zona2;2022-05-19 00:00:00+02:00;1760348430.0
sessionDownloadTraffic;OWM Zona1;2022-05-19 00:00:00+02:00;5036262218.0
sessionDownloadTraffic;OWM Zona9;2022-05-18 00:00:00+02:00;9537732082.0
sessionDownloadTraffic;OWM Zona8;2022-05-18 00:00:00+02:00;5797164305.0
sessionDownloadTraffic;OWM Zona7;2022-05-18 00:00:00+02:00;6301323607.0
sessionDownloadTraffic;OWM Zona6;2022-05-18 00:00:00+02:00;9139272889.0
sessionDownloadTraffic;OWM Zona5;2022-05-18 00:00:00+02:00;6178844241.0
sessionDownloadTraffic;OWM Zona4;2022-05-18 00:00:00+02:00;6786667291.0
sessionDownloadTraffic;OWM Zona3;2022-05-18 00:00:00+02:00;4957492873.0
sessionDownloadTraffic;OWM Zona2;2022-05-18 00:00:00+02:00;1933161026.0
sessionDownloadTraffic;OWM Zona1;2022-05-18 00:00:00+02:00;3639906676.0
sessionDownloadTraffic;OWM Zona9;2022-05-17 00:00:00+02:00;3651460808.0
sessionDownloadTraffic;OWM Zona8;2022-05-17 00:00:00+02:00;6563623835.0
sessionDownloadTraffic;OWM Zona7;2022-05-17 00:00:00+02:00;5225493126.0
sessionDownloadTraffic;OWM Zona6;2022-05-17 00:00:00+02:00;11795239476.0
sessionDownloadTraffic;OWM Zona5;2022-05-17 00:00:00+02:00;4819812926.0
sessionDownloadTraffic;OWM Zona4;2022-05-17 00:00:00+02:00;3156063235.0
sessionDownloadTraffic;OWM Zona3;2022-05-17 00:00:00+02:00;4488794098.0
sessionDownloadTraffic;OWM Zona2;2022-05-17 00:00:00+02:00;762426110.0
sessionDownloadTraffic;OWM Zona1;2022-05-17 00:00:00+02:00;2826596624.0
sessionDownloadTraffic;OWM Zona9;2022-05-16 00:00:00+02:00;4230512078.0
sessionDownloadTraffic;OWM Zona8;2022-05-16 00:00:00+02:00;4796545189.0
sessionDownloadTraffic;OWM Zona7;2022-05-16 00:00:00+02:00;3052499159.0
sessionDownloadTraffic;OWM Zona6;2022-05-16 00:00:00+02:00;10546955670.0
sessionDownloadTraffic;OWM Zona5;2022-05-16 00:00:00+02:00;2150159178.0
sessionDownloadTraffic;OWM Zona4;2022-05-16 00:00:00+02:00;14313527863.0
sessionDownloadTraffic;OWM Zona3;2022-05-16 00:00:00+02:00;11565156787.0
sessionDownloadTraffic;OWM Zona2;2022-05-16 00:00:00+02:00;1885780721.0
sessionDownloadTraffic;OWM Zona1;2022-05-16 00:00:00+02:00;2935965191.0
sessionDownloadTraffic;OWM Zona9;2022-05-15 00:00:00+02:00;9448292824.0
sessionDownloadTraffic;OWM Zona8;2022-05-15 00:00:00+02:00;5250628646.0
sessionDownloadTraffic;OWM Zona7;2022-05-15 00:00:00+02:00;7195947612.0
sessionDownloadTraffic;OWM Zona6;2022-05-15 00:00:00+02:00;16546324112.0
sessionDownloadTraffic;OWM Zona5;2022-05-15 00:00:00+02:00;5065094049.0
sessionDownloadTraffic;OWM Zona4;2022-05-15 00:00:00+02:00;11298632230.0
sessionDownloadTraffic;OWM Zona3;2022-05-15 00:00:00+02:00;8950605474.0
sessionDownloadTraffic;OWM Zona2;2022-05-15 00:00:00+02:00;1468881930.0
sessionDownloadTraffic;OWM Zona1;2022-05-15 00:00:00+02:00;1607588708.0
sessionDownloadTraffic;OWM Zona9;2022-05-14 00:00:00+02:00;3701317165.0
sessionDownloadTraffic;OWM Zona8;2022-05-14 00:00:00+02:00;8141978402.0
sessionDownloadTraffic;OWM Zona7;2022-05-14 00:00:00+02:00;10515338062.0
sessionDownloadTraffic;OWM Zona6;2022-05-14 00:00:00+02:00;13730219946.0
sessionDownloadTraffic;OWM Zona5;2022-05-14 00:00:00+02:00;3527389820.0
sessionDownloadTraffic;OWM Zona4;2022-05-14 00:00:00+02:00;20158597262.0
sessionDownloadTraffic;OWM Zona3;2022-05-14 00:00:00+02:00;13238199568.0
sessionDownloadTraffic;OWM Zona2;2022-05-14 00:00:00+02:00;2430978795.0
sessionDownloadTraffic;OWM Zona1;2022-05-14 00:00:00+02:00;2462118364.0
sessionDownloadTraffic;OWM Zona9;2022-05-13 00:00:00+02:00;5087159346.0
sessionDownloadTraffic;OWM Zona8;2022-05-13 00:00:00+02:00;7868664625.0
sessionDownloadTraffic;OWM Zona7;2022-05-13 00:00:00+02:00;10026874241.0
sessionDownloadTraffic;OWM Zona6;2022-05-13 00:00:00+02:00;13268930408.0
sessionDownloadTraffic;OWM Zona5;2022-05-13 00:00:00+02:00;9644676963.0
sessionDownloadTraffic;OWM Zona4;2022-05-13 00:00:00+02:00;8622076650.0
sessionDownloadTraffic;OWM Zona3;2022-05-13 00:00:00+02:00;10660209999.0
sessionDownloadTraffic;OWM Zona2;2022-05-13 00:00:00+02:00;2257623888.0
sessionDownloadTraffic;OWM Zona1;2022-05-13 00:00:00+02:00;4588585916.0
sessionDownloadTraffic;OWM Zona9;2022-05-12 00:00:00+02:00;4684699856.0
sessionDownloadTraffic;OWM Zona8;2022-05-12 00:00:00+02:00;5316124512.0
sessionDownloadTraffic;OWM Zona7;2022-05-12 00:00:00+02:00;10713804136.0
sessionDownloadTraffic;OWM Zona6;2022-05-12 00:00:00+02:00;14849082336.0
sessionDownloadTraffic;OWM Zona5;2022-05-12 00:00:00+02:00;6662199708.0
