Tipologia_API;Zona;Data;Valore
sessionUploadTraffic;OWM Zona9;2022-05-21 00:00:00+02:00;447135874.0
sessionUploadTraffic;OWM Zona8;2022-05-21 00:00:00+02:00;467474177.0
sessionUploadTraffic;OWM Zona7;2022-05-21 00:00:00+02:00;261162383.0
sessionUploadTraffic;OWM Zona6;2022-05-21 00:00:00+02:00;2512926782.0
sessionUploadTraffic;OWM Zona5;2022-05-21 00:00:00+02:00;379404899.0
sessionUploadTraffic;OWM Zona4;2022-05-21 00:00:00+02:00;729923251.0
sessionUploadTraffic;OWM Zona3;2022-05-21 00:00:00+02:00;557383384.0
sessionUploadTraffic;OWM Zona2;2022-05-21 00:00:00+02:00;193020034.0
sessionUploadTraffic;OWM Zona1;2022-05-21 00:00:00+02:00;704849023.0
sessionUploadTraffic;OWM Zona9;2022-05-20 00:00:00+02:00;632247005.0
sessionUploadTraffic;OWM Zona8;2022-05-20 00:00:00+02:00;448099285.0
sessionUploadTraffic;OWM Zona7;2022-05-20 00:00:00+02:00;628451981.0
sessionUploadTraffic;OWM Zona6;2022-05-20 00:00:00+02:00;2598089114.0
sessionUploadTraffic;OWM Zona5;2022-05-20 00:00:00+02:00;348144063.0
sessionUploadTraffic;OWM Zona4;2022-05-20 00:00:00+02:00;418429877.0
sessionUploadTraffic;OWM Zona3;2022-05-20 00:00:00+02:00;998385639.0
sessionUploadTraffic;OWM Zona2;2022-05-20 00:00:00+02:00;138130162.0
sessionUploadTraffic;OWM Zona1;2022-05-20 00:00:00+02:00;442154910.0
sessionUploadTraffic;OWM Zona9;2022-05-19 00:00:00+02:00;1002971307.0
sessionUploadTraffic;OWM Zona8;2022-05-19 00:00:00+02:00;518135417.0
sessionUploadTraffic;OWM Zona7;2022-05-19 00:00:00+02:00;621227452.0
sessionUploadTraffic;OWM Zona6;2022-05-19 00:00:00+02:00;1926433148.0
sessionUploadTraffic;OWM Zona5;2022-05-19 00:00:00+02:00;321303412.0
sessionUploadTraffic;OWM Zona4;2022-05-19 00:00:00+02:00;496888825.0
sessionUploadTraffic;OWM Zona3;2022-05-19 00:00:00+02:00;767557756.0
sessionUploadTraffic;OWM Zona2;2022-05-19 00:00:00+02:00;142344201.0
sessionUploadTraffic;OWM Zona1;2022-05-19 00:00:00+02:00;1453972955.0
sessionUploadTraffic;OWM Zona9;2022-05-18 00:00:00+02:00;1001802233.0
sessionUploadTraffic;OWM Zona8;2022-05-18 00:00:00+02:00;638917088.0
sessionUploadTraffic;OWM Zona7;2022-05-18 00:00:00+02:00;513060781.0
sessionUploadTraffic;OWM Zona6;2022-05-18 00:00:00+02:00;1171202990.0
sessionUploadTraffic;OWM Zona5;2022-05-18 00:00:00+02:00;319416695.0
sessionUploadTraffic;OWM Zona4;2022-05-18 00:00:00+02:00;808453382.0
sessionUploadTraffic;OWM Zona3;2022-05-18 00:00:00+02:00;708961516.0
sessionUploadTraffic;OWM Zona2;2022-05-18 00:00:00+02:00;150483555.0
sessionUploadTraffic;OWM Zona1;2022-05-18 00:00:00+02:00;322787162.0
sessionUploadTraffic;OWM Zona9;2022-05-17 00:00:00+02:00;255058784.0
sessionUploadTraffic;OWM Zona8;2022-05-17 00:00:00+02:00;913207672.0
sessionUploadTraffic;OWM Zona7;2022-05-17 00:00:00+02:00;241777807.0
sessionUploadTraffic;OWM Zona6;2022-05-17 00:00:00+02:00;2712304897.0
sessionUploadTraffic;OWM Zona5;2022-05-17 00:00:00+02:00;316516289.0
sessionUploadTraffic;OWM Zona4;2022-05-17 00:00:00+02:00;253275763.0
sessionUploadTraffic;OWM Zona3;2022-05-17 00:00:00+02:00;583404061.0
sessionUploadTraffic;OWM Zona2;2022-05-17 00:00:00+02:00;206038401.0
sessionUploadTraffic;OWM Zona1;2022-05-17 00:00:00+02:00;272036732.0
sessionUploadTraffic;OWM Zona9;2022-05-16 00:00:00+02:00;504439592.0
sessionUploadTraffic;OWM Zona8;2022-05-16 00:00:00+02:00;497428259.0
sessionUploadTraffic;OWM Zona7;2022-05-16 00:00:00+02:00;249837065.0
sessionUploadTraffic;OWM Zona6;2022-05-16 00:00:00+02:00;600667945.0
sessionUploadTraffic;OWM Zona5;2022-05-16 00:00:00+02:00;253414119.0
sessionUploadTraffic;OWM Zona4;2022-05-16 00:00:00+02:00;794314513.0
sessionUploadTraffic;OWM Zona3;2022-05-16 00:00:00+02:00;846776654.0
sessionUploadTraffic;OWM Zona2;2022-05-16 00:00:00+02:00;130848565.0
sessionUploadTraffic;OWM Zona1;2022-05-16 00:00:00+02:00;289612803.0
sessionUploadTraffic;OWM Zona9;2022-05-15 00:00:00+02:00;1008023258.0
sessionUploadTraffic;OWM Zona8;2022-05-15 00:00:00+02:00;530124052.0
sessionUploadTraffic;OWM Zona7;2022-05-15 00:00:00+02:00;465695779.0
sessionUploadTraffic;OWM Zona6;2022-05-15 00:00:00+02:00;3734577726.0
sessionUploadTraffic;OWM Zona5;2022-05-15 00:00:00+02:00;315806648.0
sessionUploadTraffic;OWM Zona4;2022-05-15 00:00:00+02:00;927392998.0
sessionUploadTraffic;OWM Zona3;2022-05-15 00:00:00+02:00;949322552.0
sessionUploadTraffic;OWM Zona2;2022-05-15 00:00:00+02:00;122111296.0
sessionUploadTraffic;OWM Zona1;2022-05-15 00:00:00+02:00;757465833.0
sessionUploadTraffic;OWM Zona9;2022-05-14 00:00:00+02:00;294381243.0
sessionUploadTraffic;OWM Zona8;2022-05-14 00:00:00+02:00;600163010.0
sessionUploadTraffic;OWM Zona7;2022-05-14 00:00:00+02:00;484449790.0
sessionUploadTraffic;OWM Zona6;2022-05-14 00:00:00+02:00;1905019857.0
sessionUploadTraffic;OWM Zona5;2022-05-14 00:00:00+02:00;399813625.0
sessionUploadTraffic;OWM Zona4;2022-05-14 00:00:00+02:00;1108068031.0
sessionUploadTraffic;OWM Zona3;2022-05-14 00:00:00+02:00;890841093.0
sessionUploadTraffic;OWM Zona2;2022-05-14 00:00:00+02:00;173494623.0
sessionUploadTraffic;OWM Zona1;2022-05-14 00:00:00+02:00;309046272.0
sessionUploadTraffic;OWM Zona9;2022-05-13 00:00:00+02:00;626986576.0
sessionUploadTraffic;OWM Zona8;2022-05-13 00:00:00+02:00;598563434.0
sessionUploadTraffic;OWM Zona7;2022-05-13 00:00:00+02:00;474474089.0
sessionUploadTraffic;OWM Zona6;2022-05-13 00:00:00+02:00;1731794166.0
sessionUploadTraffic;OWM Zona5;2022-05-13 00:00:00+02:00;520507851.0
sessionUploadTraffic;OWM Zona4;2022-05-13 00:00:00+02:00;707640968.0
sessionUploadTraffic;OWM Zona3;2022-05-13 00:00:00+02:00;778398776.0
sessionUploadTraffic;OWM Zona2;2022-05-13 00:00:00+02:00;191892698.0
sessionUploadTraffic;OWM Zona1;2022-05-13 00:00:00+02:00;3379247063.0
sessionUploadTraffic;OWM Zona9;2022-05-12 00:00:00+02:00;1209574504.0
sessionUploadTraffic;OWM Zona8;2022-05-12 00:00:00+02:00;329054959.0
sessionUploadTraffic;OWM Zona7;2022-05-12 00:00:00+02:00;744791565.0
sessionUploadTraffic;OWM Zona6;2022-05-12 00:00:00+02:00;1325333620.0
sessionUploadTraffic;OWM Zona5;2022-05-12 00:00:00+02:00;415253231.0
sessionUploadTraffic;OWM Zona4;2022-05-12 00:00:00+02:00;1152524869.0
sessionUploadTraffic;OWM Zona3;2022-05-12 00:00:00+02:00;756005028.0
sessionUploadTraffic;OWM Zona2;2022-05-12 00:00:00+02:00;181645736.0
sessionUploadTraffic;OWM Zona1;2022-05-12 00:00:00+02:00;695811685.0
sessionUploadTraffic;OWM Zona9;2022-05-11 00:00:00+02:00;2539728738.0
sessionUploadTraffic;OWM Zona8;2022-05-11 00:00:00+02:00;575594816.0
sessionUploadTraffic;OWM Zona7;2022-05-11 00:00:00+02:00;517858553.0
sessionUploadTraffic;OWM Zona6;2022-05-11 00:00:00+02:00;1165566154.0
sessionUploadTraffic;OWM Zona5;2022-05-11 00:00:00+02:00;504855555.0
sessionUploadTraffic;OWM Zona4;2022-05-11 00:00:00+02:00;536459009.0
sessionUploadTraffic;OWM Zona3;2022-05-11 00:00:00+02:00;518082158.0
sessionUploadTraffic;OWM Zona2;2022-05-11 00:00:00+02:00;122806838.0
sessionUploadTraffic;OWM Zona1;2022-05-11 00:00:00+02:00;1062294627.0
sessionUploadTraffic;OWM Zona9;2022-05-10 00:00:00+02:00;458769555.0
sessionUploadTraffic;OWM Zona8;2022-05-10 00:00:00+02:00;289744460.0
sessionUploadTraffic;OWM Zona7;2022-05-10 00:00:00+02:00;630589147.0
sessionUploadTraffic;OWM Zona6;2022-05-10 00:00:00+02:00;2031500671.0
sessionUploadTraffic;OWM Zona5;2022-05-10 00:00:00+02:00;533725924.0
sessionUploadTraffic;OWM Zona4;2022-05-10 00:00:00+02:00;682322137.0
sessionUploadTraffic;OWM Zona3;2022-05-10 00:00:00+02:00;710490621.0
sessionUploadTraffic;OWM Zona2;2022-05-10 00:00:00+02:00;128836010.0
sessionUploadTraffic;OWM Zona1;2022-05-10 00:00:00+02:00;939896690.0
sessionUploadTraffic;OWM Zona9;2022-05-09 00:00:00+02:00;809899931.0
sessionUploadTraffic;OWM Zona8;2022-05-09 00:00:00+02:00;326378740.0
sessionUploadTraffic;OWM Zona7;2022-05-09 00:00:00+02:00;442886592.0
sessionUploadTraffic;OWM Zona6;2022-05-09 00:00:00+02:00;1729109983.0
sessionUploadTraffic;OWM Zona5;2022-05-09 00:00:00+02:00;244875546.0
sessionUploadTraffic;OWM Zona4;2022-05-09 00:00:00+02:00;390177980.0
sessionUploadTraffic;OWM Zona3;2022-05-09 00:00:00+02:00;615403001.0
sessionUploadTraffic;OWM Zona2;2022-05-09 00:00:00+02:00;155800990.0
sessionUploadTraffic;OWM Zona1;2022-05-09 00:00:00+02:00;1199927413.0
sessionUploadTraffic;OWM Zona9;2022-05-08 00:00:00+02:00;82367274.0
